complaint_text,category
I'm writing because the installation was supposed to happen just now but no one showed up.,Service Delay
The new layout you launched a few hours ago is annoying.,Website/App Usability
The new update is stellar. Please help.,Feedback
Issue: My escalation ticket from over the weekend is still untouched.,Service Delay
Hello. Can you explain the prorated charge from yesterday?,Billing Issue
I can't connect to the Wi-Fi network. Please help.,Technical Issue
There is a bug when I try to save my settings. Order #37099.,Technical Issue
I received a defective device. This is urgent.,Product Quality
"To whom it may concern, the app drains my battery very fast.",Website/App Usability
Ticket 35300: My premium status is gone after the update.,Account Issue
The signature confirmation was faked by the driver. Order #22451.,Shipping & Delivery
"Hi, my request is still pending after weeks.",Service Delay
I need a refund for the extra fees charged two days ago. Order #27143.,Billing Issue
Issue: My credit card info was stolen on Thursday after using your site.,Privacy & Security
Hello. The promotional code was not applied to my system.,Billing Issue
The quality is absolutely bad. This is urgent.,Product Quality
I was billed for an upgrade I never requested on the item. Please help.,Billing Issue
My package was delivered to the wrong address. Order #79372.,Shipping & Delivery
The screen freezes when I am saving. Order #22980.,Technical Issue
Ticket 25369: I can't find the search button on your new website.,Website/App Usability
"Hi, i paid on friday but my account still shows a balance.",Billing Issue
I'm writing because i paid on wednesday but my account still shows a balance.,Billing Issue
Ticket 26819: The agent promised to call back but didn't.,Customer Support Experience
This unit is very poorly made. Order #84693.,Product Quality
Issue: The auto-renew triggered on Monday even though I turned it off.,Billing Issue
"To whom it may concern, i can't find the search button on your new website.",Website/App Usability
Issue: Your hardware has completely transformed how I work.,Feedback
"Hi, your monitor has completely transformed how i work.",Feedback
I'm writing because this is the most ridiculous machine i've ever owned.,Product Quality
"To whom it may concern, missing items in my delivery.",Shipping & Delivery
"Hi, i never agreed to this account subscription.",Billing Issue
My account details were changed without my permission. Order #39359.,Account Issue
Ticket 92082: Please correct the billing amount from on Tuesday.,Billing Issue
I'm writing because can you explain the prorated charge from last night?,Billing Issue
"Hi, the manager i spoke to on tuesday was unhelpful.",Customer Support Experience
I'm writing because i requested a fix on monday and it's still not done.,Service Delay
I'm writing because the quality is absolutely slow.,Product Quality
I was billed for an upgrade I never requested on the unit.,Billing Issue
Hello. The new update is fantastic.,Feedback
This product is very poorly made. Order #81330.,Product Quality
Ticket 45360: The box was completely crushed when it arrived.,Shipping & Delivery
Hello. My request is still pending after weeks.,Service Delay
Your site doesn't use HTTPS on the payment page. Order #95057.,Privacy & Security
Ticket 97887: Stop charging my credit card for the hardware!,Billing Issue
The system I got on Tuesday is already falling apart. Please help.,Product Quality
"Hi, i requested a fix last week and it's still not done.",Service Delay
The installation was supposed to happen two days ago but no one showed up. This is urgent.,Service Delay
"Hi, i never agreed to this website subscription.",Billing Issue
"Hi, you sold my email address to third parties.",Privacy & Security
My account won't turn on since this morning. Order #91060.,Technical Issue
The hardware I got this morning is already falling apart. This is urgent.,Product Quality
"To whom it may concern, the software broke after one use.",Product Quality
The mobile version of your site is broken. Order #64102.,Website/App Usability
Ticket 28712: It stopped working just now.,Product Quality
Hello. The auto-renew triggered last night even though I turned it off.,Billing Issue
Ticket 96057: The product does not match the description.,Product Quality
Your chat bot is completely useless. Please help.,Customer Support Experience
I get lost every time I use your router. Please help.,Website/App Usability
Ticket 21902: Half the pieces were missing from the box.,Product Quality
Ticket 84291: The maintenance work is severely delayed.,Service Delay
Service has been down for 2 days now. Please help.,Service Delay
I'm writing because i can't link my new unit to my account.,Account Issue
Issue: My profile information disappeared a few hours ago.,Account Issue
Ticket 45196: Keep up the perfect work!,Feedback
Please correct the billing amount from over the weekend. This is urgent.,Billing Issue
The installation was supposed to happen on Friday but no one showed up.,Service Delay
Hello. I cannot log into my account since last night.,Account Issue
I'm writing because the courier left my package in the rain on thursday.,Shipping & Delivery
"Hi, the installation was supposed to happen on tuesday but no one showed up.",Service Delay
"Hi, your website is very poor to use.",Website/App Usability
"Hi, why are you tracking my location?",Privacy & Security
Ticket 95802: Your service is absolutely fantastic.,Feedback
This device is very poorly made.,Product Quality
Issue: It doesn't work as advertised.,Product Quality
"To whom it may concern, the box was completely crushed when it arrived.",Shipping & Delivery
"To whom it may concern, the representative i spoke with on monday was very rude.",Customer Support Experience
The machine keeps crashing every time I use it.,Technical Issue
Why is my monthly bill higher than usual? Please help.,Billing Issue
"Hi, the representative i spoke with yesterday was very rude.",Customer Support Experience
